City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
78,Margate,GB,56.89,51.3813,1.3862,
80,Port Macquarie,AU,71.89,-31.4333,152.9167,
81,Pathein,MM,77.14,16.7833,94.7333,
85,Novo Oriente,BR,76.33,-5.5344,-40.7742,
88,Ribeira Grande,PT,65.77,38.5167,-28.7,
91,Riviere-Au-Renard,CA,68.29,48.9957,-64.3971,
92,Ormoz,SI,52.9,46.4114,16.1544,
93,Pitimbu,BR,77.59,-7.4706,-34.8086,
94,Rio Gallegos,AR,59.05,-51.6226,-69.2181,
95,Huilong,CN,66.92,31.8111,121.655,
96,Hobart,AU,72.27,-42.8794,147.3294,
97,Kruisfontein,ZA,62.89,-34.0033,24.7314,
98,Mayumba,GA,75.27,-3.432,10.6554,
100,Jamestown,US,58.71,42.097,-79.2353,
101,Iwanai,JP,47.88,42.9744,140.5089,
102,Esperance,AU,58.84,-33.8667,121.9,
104,Faya,SA,53.71,18.3851,42.4509,
106,Tautira,PF,75.69,-17.7333,-149.15,
107,Grand Gaube,MU,72.0,-20.0064,57.6608,
108,Ucluelet,CA,39.09,48.9329,-125.5528,
110,La Tiza,PA,75.02,7.75,-80.2833,
111,Riyadh,SA,68.14,24.6877,46.7219,
112,Quthing,LS,62.04,-30.4,27.7003,
116,Atuona,PF,77.04,-9.8,-139.0333,
117,Vila Velha,BR,69.94,-20.3297,-40.2925,
119,Hamilton,US,61.72,39.1834,-84.5333,
120,Villa Carlos Paz,AR,68.4,-31.4241,-64.4978,
122,Yumen,CN,36.73,40.2833,97.2,
123,Buin,CL,69.12,-33.7333,-70.75,
124,Torbay,CA,55.76,47.6666,-52.7314,
125,Rocha,UY,53.53,-34.4833,-54.3333,
126,Hurghada,EG,68.04,27.2574,33.8129,
127,Provideniya,RU,35.71,64.3833,-173.3,
128,Kaitangata,NZ,66.94,-46.2817,169.8464,
129,Laguna,US,58.42,38.421,-121.4238,
130,Naze,JP,72.52,28.3667,129.4833,
131,Hami,CN,50.47,42.8,93.45,
132,Beloha,MG,70.16,-25.1667,45.05,
133,Mahebourg,MU,71.89,-20.4081,57.7,
135,Port Hardy,CA,37.58,50.6996,-127.4199,
136,Havre-Saint-Pierre,CA,44.96,50.2334,-63.5986,
138,Lena,ES,37.9,43.1,-5.7333,
139,Pandharpur,IN,69.51,17.6667,75.3333,
140,Bredasdorp,ZA,63.95,-34.5322,20.0403,
141,Faanui,PF,77.65,-16.4833,-151.75,
142,Bilma,NE,68.94,18.6853,12.9164,
143,Hirara,JP,76.86,24.8,125.2833,
144,Aljezur,PT,60.71,37.3191,-8.8033,
145,Susaki,JP,57.27,33.3667,133.2833,
147,Fare,PF,77.43,-16.7,-151.0167,
148,Vila Franca Do Campo,PT,64.81,37.7167,-25.4333,
150,Guaraniacu,BR,51.42,-25.1008,-52.8781,
152,Berettyoujfalu,HU,50.49,47.2167,21.55,
153,Edmundston,CA,60.13,47.3737,-68.3251,
154,Manta,EC,69.58,-0.95,-80.7333,
156,Camacha,PT,65.62,33.0833,-16.3333,
157,Omboue,GA,74.14,-1.5746,9.2618,
158,Riohacha,CO,77.95,11.5444,-72.9072,
159,Craig,US,35.55,40.5153,-107.5464,
161,Hofn,IS,40.95,64.2539,-15.2082,
162,El Jicaro,GT,75.27,14.9167,-89.9,
163,Georgiyevka,KZ,41.04,43.0369,74.7114,
164,Mumbwa,ZM,67.26,-14.9783,27.0619,
165,Amalapuram,IN,73.6,16.5833,82.0167,
166,Rongcheng,CN,69.51,30.634,117.8517,
168,Nizhyn,UA,41.02,51.048,31.8869,
169,Ormara,PK,77.41,25.2088,64.6357,
170,Necochea,AR,60.46,-38.5473,-58.7368,
172,Kaseda,JP,66.99,31.4167,130.3167,
173,Zhanakorgan,KZ,47.64,43.9098,67.2495,
174,Lazaro Cardenas,MX,78.22,17.9583,-102.2,
176,Minggang,CN,66.06,32.4586,114.0486,
177,Arraial Do Cabo,BR,69.03,-22.9661,-42.0278,
178,Takoradi,GH,77.23,4.8845,-1.7554,
179,Duekoue,CI,70.27,6.7472,-7.3496,
181,Goderich,CA,57.9,43.7501,-81.7165,
184,Mindelo,CV,74.75,16.8901,-24.9804,
185,Bethel,US,68.09,41.3712,-73.414,
186,Sao Paulo De Olivenca,BR,77.22,-3.3783,-68.8725,
188,Devonport,AU,70.09,-41.1667,146.35,
189,Iralaya,HN,78.98,15.0,-83.2333,
190,Port Alfred,ZA,66.18,-33.5906,26.891,
193,Araguaina,BR,74.41,-7.1911,-48.2072,
194,Taitung,TW,79.07,22.7583,121.1444,
195,Severo-Kurilsk,RU,36.72,50.6789,156.125,
197,Aswan,EG,63.7,24.0934,32.907,
198,Cape Town,ZA,64.11,-33.9258,18.4232,
199,Amapa,BR,71.87,1.0,-52.0,
200,Sur,OM,79.14,22.5667,59.5289,
201,Cap Malheureux,MU,71.47,-19.9842,57.6142,
202,Fusagasuga,CO,62.62,4.3365,-74.3638,
203,Aripuana,BR,78.49,-9.1667,-60.6333,
204,Shache,CN,46.54,38.4167,77.2406,
205,San Cristobal,VE,71.78,7.7669,-72.225,
206,Bambous Virieux,MU,71.85,-20.3428,57.7575,
207,Korla,CN,48.81,41.7597,86.1469,
208,Grindavik,IS,37.87,63.8424,-22.4338,
210,Abnub,EG,59.22,27.2696,31.1511,
211,Mangochi,MW,78.22,-14.4782,35.2645,
